sample	Nonsynonymous	Synonymous
TCGA-AO-A1KR-01A-12D-A142-09	57	20
TCGA-AO-A1KT-01A-11D-A13L-09	33	13
TCGA-AQ-A04H-01B-11D-A10M-09	61	15
TCGA-AQ-A0Y5-01A-11D-A14K-09	48	13
TCGA-AQ-A1H2-01A-11D-A13L-09	22	7
TCGA-AQ-A1H3-01A-31D-A13L-09	17	7
TCGA-AQ-A7U7-01A-22D-A351-09	52	21
TCGA-AR-A0TP-01A-11D-A099-09	55	15
TCGA-AR-A0TQ-01A-11D-A099-09	26	11
TCGA-AR-A0TR-01A-11D-A099-09	26	9
TCGA-AR-A0TS-01A-11D-A10Y-09	67	20
TCGA-AR-A0TW-01A-11D-A099-09	43	13
TCGA-AR-A0TZ-01A-12D-A099-09	42	8
TCGA-AR-A0U0-01A-11D-A10G-09	665	34
TCGA-AR-A0U1-01A-11D-A10Y-09	67	16
TCGA-AR-A0U2-01A-11D-A10G-09	153	14
TCGA-AR-A0U3-01A-11D-A10G-09	32	7
TCGA-AR-A1AH-01A-11D-A12B-09	67	26
TCGA-AR-A1AI-01A-11D-A12Q-09	69	13
TCGA-AR-A1AJ-01A-21D-A12Q-09	37	6
TCGA-AR-A1AK-01A-21D-A12Q-09	47	13
TCGA-AR-A1AL-01A-21D-A12Q-09	22	4
TCGA-AR-A1AN-01A-11D-A12Q-09	17	3
TCGA-AR-A1AO-01A-11D-A12Q-09	84	24
TCGA-AR-A1AP-01A-11D-A12Q-09	26	2
TCGA-AR-A1AQ-01A-11D-A12Q-09	37	5
TCGA-AR-A1AR-01A-31D-A135-09	41	11
TCGA-AR-A1AT-01A-11D-A12Q-09	22	7
TCGA-AR-A1AU-01A-11D-A12Q-09	17	5
TCGA-AR-A1AW-01A-21D-A12Q-09	28	10
TCGA-AR-A1AX-01A-11D-A12Q-09	24	4
TCGA-AR-A1AY-01A-21D-A12Q-09	46	10
TCGA-AR-A24H-01A-11D-A167-09	125	27
TCGA-AR-A24K-01A-11D-A167-09	23	6
TCGA-AR-A24L-01A-11D-A167-09	32	11
TCGA-AR-A24M-01A-11D-A167-09	14	8
TCGA-AR-A24N-01A-11D-A167-09	30	9
TCGA-AR-A24O-01A-11D-A167-09	13	4
TCGA-AR-A24P-01A-11D-A167-09	23	3
TCGA-AR-A24Q-01A-12D-A167-09	129	44
TCGA-AR-A24R-01A-11D-A167-09	19	4
TCGA-AR-A24S-01A-11D-A167-09	36	11
TCGA-AR-A24T-01A-11D-A167-09	21	4
TCGA-AR-A24U-01A-11D-A167-09	32	7
TCGA-AR-A24V-01A-21D-A167-09	20	7
TCGA-AR-A24W-01A-11D-A17G-09	10	3
TCGA-AR-A24X-01A-11D-A167-09	29	10
TCGA-AR-A24Z-01A-11D-A167-09	38	7
TCGA-AR-A250-01A-31D-A167-09	91	26
TCGA-AR-A251-01A-12D-A167-09	146	32
TCGA-AR-A252-01A-11D-A167-09	10	2
TCGA-AR-A254-01A-21D-A167-09	29	8
TCGA-AR-A255-01A-11D-A167-09	55	17
TCGA-AR-A256-01A-11D-A167-09	177	44
TCGA-AR-A2LE-01A-11D-A17W-09	219	80
TCGA-AR-A2LH-01A-31D-A18P-09	52	7
TCGA-AR-A2LK-01A-11D-A17W-09	28	11
TCGA-AR-A2LL-01A-11D-A17W-09	28	5
TCGA-AR-A2LM-01A-11D-A17W-09	11	3
TCGA-AR-A2LN-01A-21D-A18P-09	32	13
TCGA-AR-A2LO-01A-31D-A18P-09	13	3
TCGA-AR-A2LQ-01A-22D-A18P-09	12	3
TCGA-AR-A2LR-01A-12D-A18P-09	53	18
TCGA-AR-A5QM-01A-11D-A27P-09	21	4
TCGA-AR-A5QN-01A-12D-A28B-09	28	8
TCGA-AR-A5QP-01A-11D-A28B-09	22	2
TCGA-AR-A5QQ-01A-11D-A28B-09	66	14
TCGA-B6-A0IH-01A-11D-A10Y-09	32	6
TCGA-B6-A0RN-01A-12D-A099-09	22	10
TCGA-B6-A0RO-01A-22D-A099-09	29	5
TCGA-B6-A0RP-01A-21D-A099-09	18	3
TCGA-B6-A0RQ-01A-11D-A10Y-09	34	14
TCGA-B6-A0RT-01A-21D-A099-09	47	8
TCGA-B6-A0RU-01A-11D-A099-09	43	11
TCGA-B6-A0RV-01A-11D-A099-09	32	17
TCGA-B6-A0WT-01A-11D-A10G-09	11	5
TCGA-B6-A0WV-01A-11D-A10G-09	26	7
TCGA-B6-A0WY-01A-11D-A10G-09	29	2
TCGA-B6-A0X0-01A-21D-A10Y-09	14	4
TCGA-B6-A0X1-01A-11D-A10G-09	66	13
TCGA-B6-A0X4-01A-11D-A10G-09	17	5
TCGA-B6-A1KN-01A-11D-A13L-09	51	13
TCGA-B6-A2IU-01A-32D-A19T-09	30	6
TCGA-B6-A40B-01A-11D-A23C-09	37	11
TCGA-B6-A40C-01A-11D-A23C-09	30	8
TCGA-BH-A0AU-01A-11D-A12Q-09	15	7
TCGA-BH-A0AZ-01A-21D-A12Q-09	51	12
TCGA-BH-A0B6-01A-11D-A19Y-09	617	228
TCGA-BH-A0B7-01A-12D-A10Y-09	29	5
TCGA-BH-A0BC-01A-22D-A099-09	24	12
TCGA-BH-A0BF-01A-21D-A12Q-09	18	10
TCGA-BH-A0BG-01A-11D-A10Y-09	32	8
TCGA-BH-A0BL-01A-11D-A10Y-09	49	8
TCGA-BH-A0BO-01A-23D-A12B-09	21	5
TCGA-BH-A0BP-01A-11D-A10Y-09	115	37
TCGA-BH-A0BQ-01A-21D-A10Y-09	18	4
TCGA-BH-A0BS-01A-11D-A12Q-09	9	6
TCGA-BH-A0BT-01A-11D-A12Q-09	30	6
