sample	Nonsynonymous	Synonymous
TCGA-EW-A2FV-01A-11D-A17D-09	42	5
TCGA-EW-A2FW-01A-11D-A17D-09	17	3
TCGA-EW-A423-01A-11D-A243-09	32	15
TCGA-GI-A2C8-01A-11D-A16D-09	93	29
TCGA-GM-A2D9-01A-11D-A18P-09	362	124
TCGA-GM-A2DA-01A-11D-A18P-09	27	10
TCGA-GM-A2DB-01A-31D-A19Y-09	106	18
TCGA-GM-A2DC-01A-11D-A18P-09	13	8
TCGA-GM-A2DD-01A-11D-A17W-09	45	14
TCGA-GM-A2DH-01A-11D-A17W-09	164	39
TCGA-GM-A2DI-01A-31D-A18P-09	52	13
TCGA-GM-A2DK-01A-21D-A17W-09	19	7
TCGA-GM-A2DL-01A-11D-A18P-09	45	5
TCGA-GM-A2DM-01A-11D-A17W-09	20	2
TCGA-GM-A2DN-01A-11D-A17W-09	21	3
TCGA-GM-A3NW-01A-21D-A228-09	44	22
TCGA-GM-A4E0-01A-12D-A25Q-09	18	8
TCGA-GM-A5PV-01A-11D-A28B-09	21	6
TCGA-GM-A5PX-01A-12D-A28B-09	23	7
TCGA-LD-A66U-01A-11D-A31U-09	21	4
TCGA-LD-A74U-01A-13D-A33E-09	172	54
TCGA-LD-A7W6-01A-81D-A351-09	24	7
TCGA-LL-A440-01A-11D-A243-09	4	3
TCGA-LL-A50Y-01A-11D-A25Q-09	23	14
TCGA-LL-A5YL-01A-12D-A29N-09	44	15
TCGA-LL-A6FP-01A-11D-A31U-09	50	13
TCGA-LL-A9Q3-01A-11D-A41F-09	38	15
TCGA-OL-A5DA-01A-11D-A27P-09	57	24
TCGA-OL-A66J-01A-11D-A29N-09	43	9
TCGA-OL-A66K-01A-11D-A29N-09	22	6
TCGA-OL-A66N-01A-12D-A31U-09	30	9
TCGA-OL-A6VQ-01A-12D-A41F-09	52	17
TCGA-PE-A5DC-01A-12D-A27P-09	74	31
TCGA-PE-A5DE-01A-11D-A27P-09	328	127
TCGA-W8-A86G-01A-21D-A36J-09	13	7
TCGA-WT-AB44-01A-11D-A41F-09	26	6
TCGA-XX-A899-01A-11D-A36J-09	31	11
TCGA-XX-A89A-01A-11D-A36J-09	134	38
TCGA-Z7-A8R5-01A-42D-A41F-09	19	6
TCGA-Z7-A8R6-01A-11D-A41F-09	47	21
