"","CBCP00111.T1","CBCP00112.T1","CBCP00113.T1","CBCP00114.T1","CBCP00116.T1","CBCP00117.T1","CBCP00118.T1","CBCP00119.T1","CBCP00111.T2","CBCP00112.T2","CBCP00113.T2","CBCP00114.T2","CBCP00116.T2","CBCP00117.T2","CBCP00118.T2","CBCP00119.T2"
"Signature_0",4.67065635546859e-16,6.18197001966283e-10,0.0213192235968804,2.22044604925031e-16,0.106219784358814,8.85743038354928e-07,0.0157138597293992,2.22044604925031e-16,0.0174013249404769,0.0684819161397102,3.17462948726258e-14,0.0167935534767485,1.29062043154468e-06,0.061756718885335,1.80885960258223e-07,0.0307224123178473
"Signature_1",0.102740291315722,0.0588924648726168,0.089523090032654,0.0566877788286228,0.000640164441520297,0.0220696348340755,0.0210046241638872,0.024041731127956,0.107169027649983,0.0283966375746147,0.0040549318857073,9.74036792199331e-13,0.0113171337713862,1.42085966333972e-07,0.00853888445835352,9.79450562335716e-11
"Signature_2",2.22044604925031e-16,0.0422718236554367,6.01204412360913e-06,0.0108797978418175,5.60160509980289e-06,0.0786498737864304,0.0179986530601093,2.22044604925031e-16,0.0141053188107264,2.22044604925031e-16,3.39387860240232e-10,0.0741472134890354,0.0420028620275342,0.0314939091249989,0.0651538033059973,0.00129194865772438
"Signature_3",1.70982611677151e-05,2.22044604925031e-16,6.0308513580669e-10,2.22044604925031e-16,7.4669775703905e-14,0.00581550349144063,0.00739294172738415,0.0904957472992508,0.0364070500297297,3.23063296146112e-06,0.124943483321635,0.0403398583110475,0.000520587214653628,0.00729757893226308,0.010795856799867,0.145186938298102
