SampleID,CIN
CBCP00001-T1,0.0
CBCP00002-T1,0.0
CBCP00003-T1,0.015721060988810803
CBCP00004-T1,0.7774148816272995
CBCP00005-T1,0.3548334616499117
CBCP00006-T1,0.05733480581522167
CBCP00007-T1,0.5534821884039837
CBCP00008-T1,0.003371363339396003
CBCP00009-T1,0.06003296277084388
CBCP00083-T1,0.030638488430154154
CBCP00084-T1,0.5471980419874954
CBCP00085-T1,0.0
CBCP00086-T1,0.017475882435882415
CBCP00087-T1,0.05929921074851476
CBCP00111-T1,0.0025469716145445466
CBCP00112-T1,0.0009765128413028685
CBCP00113-T1,0.0005584749776473079
CBCP00114-T1,0.009893238005442468
CBCP00116-T1,0.001986025301340444
CBCP00117-T1,0.026268824580321076
CBCP00118-T1,0.015023364433284093
CBCP00119-T1,0.00023931205632033784
