SampleID,CIN
CBCP00001-T1,0.0
CBCP00002-T1,0.6844041127819167
CBCP00003-T1,0.10331842656815454
CBCP00004-T1,0.6387967473139426
CBCP00005-T1,0.46435205816639774
CBCP00006-T1,0.031336215530277635
CBCP00007-T1,0.4544290922850518
CBCP00008-T1,0.01856570323568278
CBCP00009-T1,0.11709723752216308
CBCP00010-T1,0.0044204359116175795
CBCP00011-T1,0.6426490853115399
CBCP00012-T1,0.2266328466848543
CBCP00013-T1,0.0419973863502249
CBCP00014-T1,0.8153192923575268
CBCP00015-T1,0.03678487524423555
CBCP00016-T1,0.07366706661507139
CBCP00017-T1,0.0
CBCP00018-T1,0.00567093517433245
CBCP00019-T1,0.0067275480967837736
CBCP00020-T1,0.020235917538094006
CBCP00021-T1,0.01941994640321556
CBCP00022-T1,0.5346743116386196
CBCP00023-T1,0.0017415987605496899
CBCP00024-T1,0.04361701984167912
CBCP00025-T1,0.020815142709878432
