,CBCP00111-T1,CBCP00112-T1,CBCP00113-T1,CBCP00114-T1,CBCP00116-T1,CBCP00117-T1,CBCP00118-T1,CBCP00119-T1,CBCP00111-T2,CBCP00112-T2,CBCP00113-T2,CBCP00114-T2,CBCP00116-T2,CBCP00117-T2,CBCP00118-T2,CBCP00119-T2
Signature_0,1.2693552069361023,1.8194836467632023,3.290013953113045,2.257209104219519,0.2134667917756596,0.6086592233927018,0.7706700311617685,1.0446269543275202,3.8726811801942493,0.0,0.0,0.21705559640266858,0.12322715078625404,0.09798084932102537,0.35571212319125056,0.022299479748321846
Signature_1,0.0,0.40926372911328884,0.0,0.09721298183111408,0.9558290275709511,0.8652355196016148,0.34299426655342646,0.0,0.20361418864805136,0.47393292479604116,0.0,1.1005495406368757,0.41003555473918185,0.94123075175237,0.6460168932534739,0.8053308301544737
Signature_2,3.894117944634175,1.0330667871540768,0.6306011726123562,0.0,0.9912872977527092,0.5733486287666274,0.2899546430647547,0.0,0.8335996300577494,2.482976597984839,0.41919434660819616,0.0,0.6124411766438467,0.46107021295137546,0.21862123208271705,0.2500022506862656
Signature_3,0.0,0.0,0.17662041766072878,0.0,0.3016854255296811,0.07921793416711582,0.1872819801737691,3.1614189179260515,1.4902479068412082,0.42175982235542503,4.324969518510144,1.3222633264048596,0.05398967672438253,0.3203662194808693,0.3272195391536047,4.126868889182613
