,colon1_T,colon2_T,colon3_T,intestine1_T,intestine2_T,intestine3_T,liver1_T,liver2_T,liver3_T
Signature 1,1.18780072531679,4.5817443845804995,2.4495275044127753,0.2522519345656449,3.7641017853286045,2.2225898876016426,0.0,0.41612300798180396,0.17651308887291897
Signature 2,0.135986576753994,0.0,1.9561149843576862,0.8736081714327564,3.2128183923857234,3.21165244733513,0.583747364630422,0.5878883251994901,0.0
Signature 3,0.509746779228659,1.1171680841501015,0.23294145828209492,0.36133102776103604,0.9283562246055567,0.0,2.042346230268456,6.804526022086366,1.4093806980983137
