	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90
Signature 1	0.9377694311126323	0.07718317718717042	0.26654147183857313	0.17291008566479826	0.436034114312413	0.8517516947292605	0.14364197450167768	0.20563949162773143	0.07480077465115566	0.10625002926012128	0.195749290875063	0.20019996600015877	0.1346058055116883	0.280010270554626	0.246994216771235	0.15103649010048537	0.04582377072179869	0.17438652897246942	0.7098194699243646	0.16447583850165645	0.03533646723078641	0.016325775331207798	0.2944862816777636	0.18493699790806006	0.19925617830050424	0.11086224764888018	0.04240091356666727	0.24692802569998212	0.2529133699421049	0.36431364895544505	0.16748295180231398	0.07527893168803484	0.03289440180946386	0.2934392629843058	0.2667619014755712	0.18843009095794677	0.38812077710628595	0.0961093937119649	0.06627024670177802	0.1383935157371241	0.19481082587565932	0.19549633495259922	0.09227673253735987	0.2170861708105501	0.28202329280917793	0.20254399559318917	0.2735415409430334	0.04442933929141738	0.4000650625262986	0.09991211972715605	0.17662251635969523	0.1195933917784675	0.02586505542600393	0.03944867494090275	0.2063289244718139	0.20031710834196698	0.07827835933551175	0.1194788392488475	0.132626756581828	0.07354183271128918	0.13077907430196398	0.2150641705860225	0.2610118965723386	0.06941748591974814	0.018941100795884257	0.2552282364540469	0.12812453312763694	0.1836865099740661	0.7032856053891066	0.17734724698348778	0.27150006534986004	0.028067647724419432
Signature 2	0.7985926343783759	0.14593371460264717	0.3718350101225264	0.23333122146711163	0.48567277809566267	0.5799021767846517	0.2503022039300768	0.26991161076295705	0.13444453944051482	0.161538745208746	0.2807676381943569	0.3001325595464925	0.12367338956897334	0.39380897409698445	0.2067473108458786	0.21762841256955887	0.1106070844939382	0.22063947291376923	0.31917098505158703	0.17983995095760857	0.09382659473003252	0.05454226807178173	0.3078137384582891	0.2139196549408049	0.20703792096427348	0.18115240606345748	0.10291032378378201	0.22054833565183984	0.21282121073085886	0.4598422135200359	0.23832765069130935	0.10598161470398729	0.0984938405407843	0.30821152580945343	0.3510957428879909	0.291804083781059	0.3770733763499533	0.11743278043571084	0.13209732688406867	0.2328782428401744	0.22604279715099637	0.2703839348571577	0.10874010568275341	0.28773936556860613	0.4057043616930512	0.27478279852853355	0.1982764803325145	0.07384200351667793	0.3140976633245223	0.12066036915930853	0.27449682621672933	0.19737748883770428	0.031709767403957076	0.0417593770838717	0.26965257472526294	0.26039018907533273	0.14088025467864732	0.12447902480431142	0.145190826488691	0.06538029091448062	0.17101534667024545	0.29839878804908665	0.26154282403174295	0.06375839048242857	0.030321746641791894	0.1892175464528554	0.21354481692391614	0.2562660021250223	0.7106117034892815	0.22282669435159402	0.3756827034513761	0.0922966839542824
Signature 3	0.07130411811370937	0.2685179316881354	0.8359179472271739	0.5242333075157438	0.9325186881438607	0.29376048971914126	0.3850563741957509	0.4910466748230842	0.27375465123825893	0.2789704635992039	0.546941264265181	0.552199005435597	0.12762761392719793	0.1596871262326591	0.4830235498561173	0.5683730893487452	0.18777246019160637	0.2773537554274927	0.25571468286042187	0.6133098445969878	0.12208724387837602	0.08745064942186487	0.4155600327317962	0.5629471733549304	0.39371605546627075	0.2901551086615898	0.26494766603509967	0.5167494918441843	0.43053446684857927	0.6629317300760513	0.5406679861217663	0.19262986545541264	0.16907678932066353	0.3872828916422346	0.5516248542023628	0.5949785913444279	0.4891166872123441	0.2670727106984868	0.17264448585331685	0.49515474043160507	0.3305580622693457	0.5771907925847444	0.24933385807552616	0.5692815145237642	0.880536209264406	0.4866354145996108	0.5680397262992004	0.13944478354472598	0.530035504848803	0.2874113869374446	0.5041421845702091	0.3267911555933356	0.035913935957033516	0.1192052469205534	0.4001679294277703	0.36535440278627623	0.1951083224431717	0.26499325590231787	0.39208355912868276	0.15165502892785976	0.20603236550668302	0.45296138929384056	0.5625705219921466	0.14189726493298482	0.046695934088660865	0.4758242265970693	0.45442270402025403	0.335915261056403	0.2374756225338305	0.48757469238062034	0.6844052941742595	0.1789926447701999
